"No.","Time","Source","Destination","Protocol","Length","Info"
"24","2.665379755","192.168.1.7","192.168.1.6","TCP","66","50483  >  20 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"25","2.665420138","192.168.1.6","192.168.1.7","TCP","66","20  >  50483 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"26","2.665598114","192.168.1.7","192.168.1.6","TCP","60","50483  >  20 [ACK] Seq=1 Ack=1 Win=1051136 Len=0"
"27","2.665598202","192.168.1.7","192.168.1.6","FTP-DATA","133","FTP Data: 79 bytes"
"28","2.665639967","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=80 Win=64256 Len=0"
"29","2.679603256","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"30","2.679640210","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=4176 Win=62592 Len=0"
"31","2.679603546","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"32","2.679654859","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=8272 Win=59520 Len=0"
"33","2.679603576","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"34","2.679661793","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=12368 Win=56576 Len=0"
"35","2.679671191","192.168.1.7","192.168.1.6","FTP-DATA","1514","FTP Data: 1460 bytes"
"36","2.679674003","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=13828 Win=55424 Len=0"
"37","2.679795860","192.168.1.7","192.168.1.6","FTP-DATA","2974","FTP Data: 2920 bytes"
"38","2.679802958","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=16748 Win=56448 Len=0"
"39","2.679795925","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"40","2.679862613","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=21128 Win=53376 Len=0"
"41","2.679795956","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"42","2.679884894","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=25508 Win=50432 Len=0"
"43","2.679910803","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"44","2.679914145","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=29888 Win=47360 Len=0"
"45","2.679910852","192.168.1.7","192.168.1.6","FTP-DATA","3014","FTP Data: 2960 bytes"
"46","2.679922826","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=32848 Win=44928 Len=0"
"47","2.682749968","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"48","2.682762825","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=36944 Win=62592 Len=0"
"49","2.682750078","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"50","2.682789975","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=41040 Win=59520 Len=0"
"51","2.682972113","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"52","2.682981344","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=45136 Win=59520 Len=0"
"53","2.682972189","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"54","2.682993552","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=49232 Win=56576 Len=0"
"55","2.682972214","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"56","2.683003996","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=53328 Win=53504 Len=0"
"57","2.683027775","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"58","2.683033392","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=57424 Win=50560 Len=0"
"59","2.683027829","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"60","2.683027865","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"61","2.683051259","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"62","2.683051316","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"63","2.683051354","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"64","2.683098250","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"65","2.683098381","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"66","2.683098407","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"67","2.683126598","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"68","2.683126640","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"69","2.683126676","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
