"No.","Time","Source","Destination","Protocol","Length","Info"
"35","2.209722337","192.168.1.7","192.168.1.6","TCP","66","50478  >  20 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"36","2.209767024","192.168.1.6","192.168.1.7","TCP","66","20  >  50478 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"37","2.209950525","192.168.1.7","192.168.1.6","TCP","60","50478  >  20 [ACK] Seq=1 Ack=1 Win=1051136 Len=0"
"38","2.209950654","192.168.1.7","192.168.1.6","FTP-DATA","134","FTP Data: 80 bytes"
"39","2.210034848","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=81 Win=64256 Len=0"
"40","2.224784081","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"41","2.224815371","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=4177 Win=62592 Len=0"
"42","2.224784400","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"43","2.224830867","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=8273 Win=59520 Len=0"
"44","2.224784426","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"45","2.224837954","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=12369 Win=56576 Len=0"
"46","2.224846560","192.168.1.7","192.168.1.6","FTP-DATA","1514","FTP Data: 1460 bytes"
"47","2.224849219","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=13829 Win=55424 Len=0"
"48","2.224962004","192.168.1.7","192.168.1.6","FTP-DATA","2974","FTP Data: 2920 bytes"
"49","2.224975100","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=16749 Win=53376 Len=0"
"50","2.224962179","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"51","2.224987874","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=21129 Win=50432 Len=0"
"52","2.224962214","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"53","2.224995254","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=25509 Win=47360 Len=0"
"54","2.225003946","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"55","2.225007441","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=29889 Win=44416 Len=0"
"56","2.225003979","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"57","2.225013705","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=34269 Win=41344 Len=0"
"58","2.225004004","192.168.1.7","192.168.1.6","FTP-DATA","2974","FTP Data: 2920 bytes"
"59","2.225019659","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=37189 Win=39296 Len=0"
"60","2.225032970","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"61","2.225036492","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=41569 Win=36352 Len=0"
"62","2.225082204","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"63","2.225088850","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=45949 Win=33280 Len=0"
"64","2.225082244","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"65","2.225082267","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"66","2.225110342","192.168.1.7","192.168.1.6","FTP-DATA","2974","FTP Data: 2920 bytes"
"67","2.225110376","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"68","2.225147335","192.168.1.7","192.168.1.6","FTP-DATA","3662","FTP Data: 3608 bytes"
"69","2.225147374","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"70","2.225147399","192.168.1.7","192.168.1.6","FTP-DATA","4362","FTP Data: 4308 bytes"
"71","2.225163394","192.168.1.7","192.168.1.6","FTP-DATA","3670","FTP Data: 3616 bytes"
"72","2.235048672","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=77921 Win=13184 Len=0"
"73","2.235401133","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"74","2.235417362","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=82301 Win=16128 Len=0"
"75","2.235401254","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"76","2.235401278","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"77","2.235501578","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=91061 Win=11264 Len=0"
"78","2.235583103","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"79","2.235583268","192.168.1.7","192.168.1.6","FTP-DATA","3042","FTP Data: 2988 bytes"
"80","2.235583291","192.168.1.7","192.168.1.6","FTP-DATA","2974","FTP Data: 2920 bytes"
"81","2.235651361","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=101349 Win=5760 Len=0"
"82","2.235883230","192.168.1.6","192.168.1.7","TCP","54","[TCP Window Update] 20  >  50478 [ACK] Seq=1 Ack=101349 Win=11776 Len=0"
"83","2.235891109","192.168.1.7","192.168.1.6","FTP-DATA","1514","FTP Data: 1460 bytes"
"84","2.235891286","192.168.1.7","192.168.1.6","FTP-DATA","4354","FTP Data: 4300 bytes"
