"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","157.253.212.244","13.107.6.171","TCP","55","52514  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1 [TCP segment of a reassembled PDU]"
"2","0.051124","13.107.6.171","157.253.212.244","TCP","66","443  >  52514 [ACK] Seq=1 Ack=2 Win=16386 Len=0 SLE=1 SRE=2"
"3","0.719317","157.253.212.244","20.7.1.246","TLSv1.2","98","Application Data"
"4","0.801516","20.7.1.246","157.253.212.244","TLSv1.2","229","Application Data"
"5","0.843760","157.253.212.244","20.7.1.246","TCP","54","64178  >  443 [ACK] Seq=45 Ack=176 Win=256 Len=0"
"6","2.313913","157.253.212.244","173.194.216.188","TCP","55","57389  >  5228 [ACK] Seq=1 Ack=1 Win=510 Len=1"
"7","2.579390","157.253.212.244","173.194.216.188","TCP","55","57390  >  5228 [ACK] Seq=1 Ack=1 Win=510 Len=1"
"8","2.580438","173.194.216.188","157.253.212.244","TCP","66","5228  >  57389 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2"
"9","2.667110","173.194.216.188","157.253.212.244","TCP","66","5228  >  57390 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2"
"10","6.729852","157.253.212.244","157.253.230.90","FTP","83","Request: PORT 157,253,212,244,205,68"
"11","6.753743","157.253.230.90","157.253.212.244","FTP","105","Response: 200 PORT command successful. Consider using PASV."
"12","6.771501","157.253.212.244","157.253.230.90","FTP","69","Request: RETR 650k.jpg"
"13","6.793123","157.253.230.90","157.253.212.244","TCP","74","20  >  52548 [SYN] Seq=0 Win=64240 Len=0 MSS=1250 SACK_PERM=1 TSval=878322333 TSecr=0 WS=128"
"14","6.793244","157.253.212.244","157.253.230.90","TCP","74","52548  >  20 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=1878292020 TSecr=878322333"
"15","6.823811","157.253.230.90","157.253.212.244","TCP","66","20  >  52548 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=878322353 TSecr=1878292020"
"16","6.823811","157.253.230.90","157.253.212.244","FTP","124","Response: 150 Opening BINARY mode data connection for 650k.jpg (662161 bytes)."
"17","6.823811","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"18","6.823811","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"19","6.823811","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"20","6.824115","157.253.212.244","157.253.230.90","TCP","66","52548  >  20 [ACK] Seq=1 Ack=3715 Win=524800 Len=0 TSval=1878292051 TSecr=878322354"
"21","6.828066","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"22","6.828066","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"23","6.828066","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"24","6.828066","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"25","6.828066","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"26","6.828228","157.253.212.244","157.253.230.90","TCP","66","52548  >  20 [ACK] Seq=1 Ack=9905 Win=524800 Len=0 TSval=1878292055 TSecr=878322354"
"27","6.870189","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"28","6.875638","157.253.212.244","157.253.230.90","TCP","54","52534  >  21 [ACK] Seq=45 Ack=122 Win=7854 Len=0"
"29","6.891230","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"30","6.891301","157.253.212.244","157.253.230.90","TCP","66","52548  >  20 [ACK] Seq=1 Ack=12381 Win=524800 Len=0 TSval=1878292118 TSecr=878322354"
"31","6.896588","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"32","6.923489","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"33","6.923489","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"34","6.923489","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"35","6.923489","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
